match_id;date;team;player;jersey;starter;minutes;points;rebounds;assists;fouls;turnovers;steals;blocks;plus_minus;efficiency;MIN_FL;FGA;FGM;FG3A;FG3M;FTA;FTM;OREB;DREB;Home_Team_Name;Is_Home;Arc3_Attempts;Corner3_Attempts;MidRange_Attempts;Rim_Attempts;Arc3_Made;Corner3_Made;MidRange_Made;Rim_Made;Arc3_Points;Corner3_Points;MidRange_Points;Rim_Points;Rim_Freq;Rim_PPS;MidRange_Freq;MidRange_PPS;Corner3_Freq;Corner3_PPS;Arc3_Freq;Arc3_PPS;Tm_MIN;Tm_FGA;Tm_FTA;Tm_TOV;Tm_REB;Tm_OREB;Tm_PTS;Poss;USG%;ORtg;TS%;eFG%;Reb_Share;Scoring_Share;Fouls_Per_Min;Blowout_Factor;Clutch_FGA;Clutch_FGM;Clutch_FG%;opponent;Opp_Avg_Pts_Allowed;Opp_FG_Allowed;Consistency_Index;Days_Rest;Season_Weight
2309844;2023-09-23;bk opava;a. pechacek;0;0;5:38;2;2;0;1;1;0;0;4;2;5.633333333333333;2.0;1.0;1.0;0.0;0.0;0.0;0.0;2.0;nh ostrava;0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.5;2.0;0.0;0.0;0.5;0.0;225.0;67.0;46.0;15;41;11.0;102;3.0;23.439453287773986;66.66666666666666;0.5;0.5;0.04878048780487805;0.0196078431372549;0.1775147928994083;0.7100591715976332;0.0;0.0;0.0;nh ostrava;102.0;0.3880597014925373;0.0;7.0;0.7
2517865;2024-09-21;usk praha;b. schilb;24;1;26:21;6;3;3;0;2;3;0;-1;8;26.35;7.0;2.0;7.0;2.0;0.0;0.0;0.0;3.0;usk praha;1;5.0;2.0;0.0;0.0;2.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2857142857142857;0.0;0.7142857142857143;1.2;199.98333333333332;62.0;30.0;13;37;12.0;98;9.0;15.488776155623537;66.66666666666666;0.42857142857142855;0.42857142857142855;0.08108108108108109;0.061224489795918366;0.0;-0.03795066413662239;0.0;0.0;0.0;gba fruko-schulz jindrichuv hradec;98.0;0.532258064516129;0.0;7.0;0.7
2517865;2024-09-21;gba fruko-schulz jindrichuv hradec;c. bajema;2;1;36:08;16;5;3;3;0;3;1;-5;19;36.13333333333333;13.0;5.0;7.0;2.0;5.0;4.0;0.0;5.0;usk praha;0;7.0;0.0;0.0;6.0;2.0;0.0;0.0;3.0;6.0;0.0;0.0;6.0;0.46153846153846156;1.0;0.0;0.0;0.0;0.0;0.5384615384615384;0.8571428571428571;200.0;65.0;21.0;7;26;9.0;86;15.2;20.712171671199727;105.26315789473684;0.5263157894736842;0.46153846153846156;0.19230769230769232;0.18604651162790697;0.08302583025830258;-0.13837638376383765;0.0;0.0;0.0;usk praha;86.0;0.4307692307692308;0.0;7.0;0.7
2309844;2023-09-23;nh ostrava;c. jeter;4;1;25:18;20;8;1;4;6;0;1;5;20;25.3;11.0;8.0;1.0;0.0;5.0;4.0;5.0;3.0;nh ostrava;1;1.0;0.0;3.0;7.0;0.0;0.0;2.0;6.0;0.0;0.0;4.0;12.0;0.6363636363636364;1.7142857142857142;0.2727272727272727;1.3333333333333333;0.0;0.0;0.09090909090909091;0.0;225.0;76.0;28.0;16;46;17.0;96;14.2;32.7360023278935;140.84507042253523;0.7575757575757576;0.7272727272727273;0.17391304347826086;0.20833333333333334;0.15810276679841898;0.1976284584980237;0.0;0.0;0.0;bk opava;96.0;0.40789473684210525;0.0;7.0;0.7
2309844;2023-09-23;nh ostrava;d. heinzl;7;0;12:34;4;7;0;3;3;0;0;-17;6;12.566666666666666;3.0;1.0;1.0;0.0;2.0;2.0;5.0;2.0;nh ostrava;1;0.0;1.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.6666666666666666;1.0;0.3333333333333333;0.0;0.0;0.0;225.0;76.0;28.0;16;46;17.0;96;1.88;23.61637727620381;212.7659574468085;0.5154639175257733;0.3333333333333333;0.15217391304347827;0.041666666666666664;0.2387267904509284;-1.3527851458885942;0.0;0.0;0.0;bk opava;96.0;0.40789473684210525;0.0;7.0;0.7
2309844;2023-09-23;nh ostrava;d. jakel;9;0;0:00;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;nh ostrava;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;225.0;76.0;28.0;16;46;17.0;96;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;bk opava;96.0;0.40789473684210525;0.0;7.0;0.7
2517865;2024-09-21;usk praha;d. vlk;13;0;15:50;5;4;0;0;0;0;0;16;4;15.833333333333334;7.0;2.0;1.0;0.0;1.0;1.0;3.0;1.0;usk praha;1;1.0;0.0;0.0;6.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;4.0;0.8571428571428571;0.6666666666666666;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;199.98333333333332;62.0;30.0;13;37;12.0;98;4.44;21.308643036161833;112.6126126126126;0.33602150537634407;0.2857142857142857;0.10810810810810811;0.05102040816326531;0.0;1.0105263157894737;0.0;0.0;0.0;gba fruko-schulz jindrichuv hradec;98.0;0.532258064516129;0.0;7.0;0.7
2309844;2023-09-23;nh ostrava;e. weaver;0;1;41:05;19;6;5;5;2;0;0;3;18;41.083333333333336;15.0;5.0;6.0;2.0;7.0;7.0;0.0;6.0;nh ostrava;1;5.0;1.0;0.0;9.0;2.0;0.0;0.0;3.0;6.0;0.0;0.0;6.0;0.6;0.6666666666666666;0.0;0.0;0.06666666666666667;0.0;0.3333333333333333;1.2;225.0;76.0;28.0;16;46;17.0;96;20.08;21.08351273659453;94.62151394422311;0.5254424778761062;0.4;0.13043478260869565;0.19791666666666666;0.12170385395537525;0.07302231237322515;1.0;1.0;1.0;bk opava;96.0;0.40789473684210525;0.0;7.0;0.7
2309844;2023-09-23;nh ostrava;e. williams;21;1;38:45;16;10;4;4;0;1;1;0;24;38.75;14.0;6.0;6.0;2.0;2.0;2.0;2.0;8.0;nh ostrava;1;6.0;0.0;5.0;3.0;2.0;0.0;1.0;3.0;6.0;0.0;2.0;6.0;0.21428571428571427;2.0;0.35714285714285715;0.4;0.0;0.0;0.42857142857142855;1.0;225.0;76.0;28.0;16;46;17.0;96;12.88;16.564417177914113;124.22360248447204;0.5376344086021505;0.5;0.21739130434782608;0.16666666666666666;0.1032258064516129;0.0;2.0;1.0;0.5;bk opava;96.0;0.40789473684210525;0.0;7.0;0.7
2517865;2024-09-21;usk praha;f. fuxa;21;0;18:38;4;2;2;3;1;0;0;16;4;18.633333333333333;2.0;1.0;1.0;0.0;4.0;2.0;1.0;1.0;usk praha;1;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.5;2.0;0.0;0.0;0.5;0.0;0.0;0.0;199.98333333333332;62.0;30.0;13;37;12.0;98;3.76;11.584348468069395;106.38297872340425;0.5319148936170213;0.5;0.05405405405405406;0.04081632653061224;0.16100178890876565;0.8586762075134169;0.0;0.0;0.0;gba fruko-schulz jindrichuv hradec;98.0;0.532258064516129;0.0;7.0;0.7
